ID,timestamp,latitude,longitude,temperature,humidity
4957,1419257100,-37.8149218,144.9822582,20,66.427
4958,1419257760,-37.8149218,144.9822582,20.32,62.487
4959,1419258360,-37.8149218,144.9822582,20.32,62.017
4960,1419258960,-37.8149218,144.9822582,20.64,
4961,1419259620,-37.8149218,144.9822582,20.64,58.857
4962,1419260220,-37.8149218,144.9822582,20.96,58.077
4963,1419260820,-37.8149218,144.9822582,20.96,59.017
4964,1419261420,-37.8149218,144.9822582,20.96,58.077
4965,1419262080,-37.8149218,144.9822582,20.96,56.657
4966,1419262680,-37.8149218,144.9822582,21.29,57.597
4967,1419263280,-37.8149218,144.9822582,21.29,56.337
4968,1419263880,-37.8149218,144.9822582,21.29,55.397
4969,1419264540,-37.8149218,144.9822582,21.93,50.817
4970,1419265140,-37.8149218,144.9822582,21.29,52.397
4971,1419265740,-37.8149218,144.9822582,22.9,51.137
4972,1419266340,-37.8149218,144.9822582,23.87,47.347
4973,1419267000,-37.8149218,144.9822582,23.22,47.667
4974,1419267600,-37.8149218,144.9822582,24.51,45.457
4975,1419268200,-37.8149218,144.9822582,23.87,45.307
4976,1419268860,-37.8149218,144.9822582,23.87,45.777
4977,1419269460,-37.8149218,144.9822582,24.51,45.937
4978,1419270060,-37.8149218,144.9822582,25.8,44.037
4979,1419270660,-37.8149218,144.9822582,29.35,37.887
4980,1419271320,-37.8149218,144.9822582,27.09,38.677
4981,1419271920,-37.8149218,144.9822582,26.77,40.257
4982,1419272520,-37.8149218,144.9822582,26.45,39.627
4983,1419273120,-37.8149218,144.9822582,22.9,50.347
4984,1419273780,-37.8149218,144.9822582,22.9,50.507
4985,1419274380,-37.8149218,144.9822582,22.9,49.557
4986,1419274980,-37.8149218,144.9822582,23.22,49.877
4987,1419275580,-37.8149218,144.9822582,22.9,49.247
4988,1419276240,-37.8149218,144.9822582,22.9,50.027
4989,1419276840,-37.8149218,144.9822582,23.22,48.767
4990,1419277440,-37.8149218,144.9822582,22.9,48.297
4991,1419278100,-37.8149218,144.9822582,,48.927
4992,1419278700,-37.8149218,144.9822582,23.22,48.137
4993,1419279300,-37.8149218,144.9822582,23.22,49.087
4994,1419279900,-37.8149218,144.9822582,24.83,
4995,1419280560,-37.8149218,144.9822582,23.54,45.617
4996,1419281160,-37.8149218,144.9822582,24.51,44.197
4997,1419281760,-37.8149218,144.9822582,23.87,44.667
4998,1419282360,-37.8149218,144.9822582,24.19,43.097
4999,1419283020,-37.8149218,144.9822582,24.83,43.887
5000,1419283620,-37.8149218,144.9822582,23.22,45.457
5001,1419284220,-37.8149218,144.9822582,22.58,53.027
5002,1419284820,-37.8149218,144.9822582,22.25,52.717
5003,1419285480,-37.8149218,144.9822582,22.9,50.187
